,Unnamed: 0,id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,diff_rating,abs_diff_rating,higher_rating,higher_rating_won,higher_rating_coded,white_higher_rated,result
867,867,pSa9EQDs,True,1499910000000.0,1499910000000.0,4,mate,black,10+0,duckduckfrog,1552,smartduckduckcow,1887,f4 e6 g4 Qh4#,A02,Bird Opening,1,-335,335,black,1,0,0,2
931,931,FHV15YuL,True,1498720000000.0,1498720000000.0,4,resign,black,30+0,mccheese,1026,bratt,1121,d4 d5 f3 e6,D00,Queen's Pawn Game,2,-95,95,black,1,0,0,2
957,957,gB9xoMat,False,1502380000000.0,1502380000000.0,3,draw,draw,60+0,chess-brahs,1990,niftyleopard,1779,Nf3 b6 g3,A04,Zukertort Opening: Queenside Fianchetto Variation,2,211,211,white,0,1,1,1
1182,1182,S0tpnlCZ,False,1496310000000.0,1496310000000.0,9,resign,black,8+5,kaushik007,1513,kaind,1501,d4 Nf6 c4 d5 cxd5 Nxd5 Nf3 Bf5 Qc2,D06,Queen's Gambit Refused: Marshall Defense,4,12,12,white,0,1,1,0
1207,1207,tzibpoeG,True,1495250000000.0,1495250000000.0,9,draw,draw,10+5,izzlanfarischess,1845,jkf11,1750,e4 c5 Nf3 d6 Nc3 Nf6 d4 cxd4 Nxd4,B56,Sicilian Defense: Modern Variations,9,95,95,white,0,1,1,1
1257,1257,ydqF9Q1W,False,1504200000000.0,1504200000000.0,8,resign,black,10+0,apervaiz,1567,axelpro446,1501,e4 e5 Nf3 Nc6 Bc4 Bc5 Ng5 Qxg5,C50,Giuoco Piano,6,66,66,white,0,1,1,0
1279,1279,LD6016Qi,False,1503860000000.0,1503860000000.0,7,outoftime,white,10+0,axelpro446,1501,plenad,1797,e4 e5 Nf3 Nc6 Nc3 Bb4 d4,C46,Three Knights Opening #2,6,-296,296,black,0,0,0,0
1289,1289,aN2zhmLS,False,1503600000000.0,1503600000000.0,8,resign,black,10+0,axelpro446,1501,augustbecarre,1609,e4 e5 Nf3 f5 exf5 e4 Ng5 Qxg5,C40,Latvian Gambit Accepted,5,-108,108,black,1,0,0,2
1297,1297,aG0wK3mX,False,1503870000000.0,1503870000000.0,6,resign,white,15+15,canexd,1104,ahmedyousry29,1228,c4 e5 d3 Qf6 Nf3 Bc5,A20,English Opening: King's English Variation,2,-124,124,black,0,0,0,0
1343,1343,n8kaYFjz,False,1497830000000.0,1497830000000.0,7,resign,white,10+0,jfuzzell,1500,thelostunicorn,1327,e4 c5 Nf3 Nf6 e5 Nd5 c4,B29,Sicilian Defense: Nimzowitsch Variation |  Advance Variation,5,173,173,white,1,1,1,2
1351,1351,6eutPcFj,False,1496330000000.0,1496330000000.0,9,mate,white,10+0,thelostunicorn,1313,jacobopavia,1500,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qf3 d5 Qxf7#,C42,Russian Game: Damiano Variation,6,-187,187,black,0,0,0,0
1352,1352,yMIwipGQ,False,1496330000000.0,1496330000000.0,9,mate,white,10+0,jacobopavia,1500,thelostunicorn,1313,e4 c5 Nc3 Nc6 Qf3 e5 Bc4 Nd4 Qxf7#,B25,Sicilian Defense: Closed Variation |  Traditional,4,187,187,white,1,1,1,2
1478,1478,IiDvaZJu,True,1494450000000.0,1494450000000.0,7,resign,black,10+0,lolrager,1154,cantaloop,1191,d4 e6 c4 d6 Nc3 Nf6 Bf4,A40,Horwitz Defense,2,-37,37,black,1,0,0,2
1490,1490,PdTSbmqt,True,1501170000000.0,1501170000000.0,8,outoftime,black,10+0,hasan_al-banna,1374,aliagha18,1385,e4 e5 Nf3 Qf6 Bc4 Bc5 d3 h6,C40,King's Pawn Game: McConnell Defense,4,-11,11,black,1,0,0,2
1543,1543,Igw3bRib,False,1500470000000.0,1500470000000.0,6,resign,white,180+0,victor946c,1161,ranger440,1472,d4 d6 c4 Bg4 h3 Bxe2,A41,Old Indian Defense,3,-311,311,black,0,0,0,0
1630,1630,d9gl523x,False,1491930000000.0,1491930000000.0,7,mate,white,7+2,razzzzy,1238,king-_-micah,1500,e4 e5 Bc4 Na6 Qf3 b6 Qxf7#,C23,Bishop's Opening,3,-262,262,black,0,0,0,0
1631,1631,MKdZBR5k,False,1491930000000.0,1491930000000.0,7,mate,white,7+2,king-_-micah,1500,razzzzy,1238,e4 e5 Bc4 Na6 Qf3 b6 Qxf7#,C23,Bishop's Opening,3,262,262,white,1,1,1,2
1632,1632,RRqJLTGb,False,1491930000000.0,1491930000000.0,4,mate,black,7+2,king-_-micah,1500,razzzzy,1238,f4 e6 g4 Qh4#,A02,Bird Opening,1,262,262,white,0,1,1,0
1654,1654,ilL0VH7M,True,1498180000000.0,1498180000000.0,8,resign,black,15+15,joe-brown,951,acrossimpact,955,d4 e6 e4 Qh4 g3 Qxe4+ Ne2 Qxh1,C00,French Defense: Normal Variation,3,-4,4,black,1,0,0,2
1680,1680,ait5yWPY,True,1496840000000.0,1496840000000.0,6,resign,black,15+15,antman724,1062,joe-brown,1071,d4 d5 Nc3 Bf5 Nxd5 Qxd5,D00,Queen's Pawn Game: Veresov Attack |  Alburt Defense,4,-9,9,black,1,0,0,2
1768,1768,ea1svLYO,True,1499290000000.0,1499290000000.0,9,mate,white,10+0,mikiduda,1395,anderson447878,1273,e4 b6 Nf3 Bb7 Bc4 Bxe4 Ng5 f6 Bf7#,B00,Owen Defense,2,122,122,white,1,1,1,2
1814,1814,2CKxscOK,False,1493340000000.0,1493350000000.0,2,outoftime,black,15+0,lkasperbauer,1038,andersongot,1331,e4 d5,B01,Scandinavian Defense,2,-293,293,black,1,0,0,2
1921,1921,jbcrVMhU,True,1501370000000.0,1501370000000.0,3,outoftime,white,10+0,oceannnn,1375,brorael357,1332,d4 d5 Nf3,D02,Queen's Pawn Game: Zukertort Variation,3,43,43,white,1,1,1,2
1946,1946,3K5kYPO8,True,1491530000000.0,1491530000000.0,1,resign,black,10+0,serik-astana,1464,brorael357,1355,g3,A00,Hungarian Opening,1,109,109,white,0,1,1,0
1956,1956,XJ9s4FNH,True,1489290000000.0,1489290000000.0,2,outoftime,black,10+0,brorael357,1336,mnawdirqifuat,1516,e4 d5,B01,Scandinavian Defense,2,-180,180,black,1,0,0,2
1958,1958,YI9iirSM,True,1489280000000.0,1489280000000.0,9,resign,white,10+0,levdor,1398,brorael357,1355,e4 e5 Nf3 d5 exd5 Qxd5 Nc3 e4 Nxd5,C40,Elephant Gambit,4,43,43,white,1,1,1,2
1961,1961,8c1sF2CM,True,1496220000000.0,1496220000000.0,2,outoftime,black,150+180,sveenemand,1039,canturkoguz,1161,e4 e5,C20,King's Pawn Game,2,-122,122,black,1,0,0,2
1962,1962,wX3EQAPu,True,1495010000000.0,1495010000000.0,2,resign,black,150+180,sveenemand,1055,poshgirl,1280,e3 e5,A00,Van't Kruijs Opening,1,-225,225,black,1,0,0,2
1963,1963,rVHJzpo8,True,1494410000000.0,1494410000000.0,8,resign,black,10+0,sveenemand,1086,sergik91,1148,e3 d5 d3 Nc6 Qh5 Be6 Qxh7 Rxh7,A00,Van't Kruijs Opening,1,-62,62,black,1,0,0,2
1965,1965,yPT5JaJx,False,1487670000000.0,1487670000000.0,4,resign,black,180+180,sveenemand,1091,fingers33,1171,e3 c5 d3 e5,A00,Van't Kruijs Opening,1,-80,80,black,1,0,0,2
1983,1983,QGXLgc6L,True,1489010000000.0,1489010000000.0,3,resign,white,9+1,sneaky_bugger,1654,tactical_bishop,1345,b3 f6 Bb2,A01,Nimzo-Larsen Attack,1,309,309,white,1,1,1,2
1984,1984,J62F4oVs,True,1489010000000.0,1489010000000.0,6,resign,black,9+1,tactical_bishop,1423,sneaky_bugger,1576,d4 e6 e4 Qh4 Bg5 Qxg5,C00,French Defense: Normal Variation,3,-153,153,black,1,0,0,2
1986,1986,i4dYtT5Z,True,1489000000000.0,1489000000000.0,3,resign,black,10+0,tactical_bishop,1500,sneaky_bugger,1500,d4 e6 Bf4,A40,Horwitz Defense,2,0,0,same,0,0,0,0
2028,2028,x1WpDqIT,True,1491260000000.0,1491260000000.0,6,resign,black,10+0,rinat_raf,1254,chicago_chess,1353,e4 e5 Nf3 Nc6 Nxe5 Nxe5,C44,Irish Gambit,5,-99,99,black,1,0,0,2
2134,2134,XTiCByNu,True,1491750000000.0,1491750000000.0,5,resign,white,10+0,maximusmaxi,1821,ecstasydrug,1641,e4 e5 f4 d6 Nf3,C30,King's Gambit,3,180,180,white,1,1,1,2
2310,2310,lOR8aHMk,False,1503770000000.0,1503770000000.0,6,draw,draw,40+20,iamnoobsince97,1500,chess_king3,1474,e4 c5 Nc3 d6 Bc4 Nc6,B23,Sicilian Defense: Closed Variation,3,26,26,white,0,1,1,1
2346,2346,E3VQorHc,True,1504010000000.0,1504010000000.0,6,resign,black,15+15,cooldude1200,1091,adarsh2001,1203,e4 c5 Bc4 d6 Bxf7+ Kxf7,B20,Sicilian Defense: Bowdler Attack,3,-112,112,black,1,0,0,2
2433,2433,msIqfn6q,True,1495610000000.0,1495610000000.0,8,resign,black,10+0,bastille114,1132,masterzyd,1258,e3 e5 Bc4 Qf6 Qf3 Qg6 Qd5 Nh6,A00,Van't Kruijs Opening,1,-126,126,black,1,0,0,2
2439,2439,pRRzGygf,True,1495610000000.0,1495610000000.0,8,mate,black,10+0,sensey123,1448,masterzyd,1280,e4 e5 c4 Qh4 d3 Bc5 Nf3 Qxf2#,C20,English Opening: The Whale,3,168,168,white,0,1,1,0
2464,2464,u8ggaevt,True,1495260000000.0,1495260000000.0,7,mate,white,10+0,masterzyd,1285,krizchess,1279,e4 Nc6 Bc4 f5 Qf3 fxe4 Qf7#,B00,Nimzowitsch Defense,2,6,6,white,1,1,1,2
2467,2467,2FqRLD1n,True,1495240000000.0,1495240000000.0,9,mate,white,10+0,pavel21,1310,masterzyd,1304,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qf3 d5 Qxf7#,C42,Russian Game: Damiano Variation,6,6,6,white,1,1,1,2
2484,2484,5WZ9903K,False,1491850000000.0,1491850000000.0,8,resign,white,30+0,mustapha_fouad,1500,theblairloggie,1364,e4 e5 Nf3 d5 Nc3 dxe4 Nxe4 Nc6,C40,Elephant Gambit,4,136,136,white,1,1,1,2
2650,2650,NsSxoY8g,False,1499340000000.0,1499340000000.0,5,resign,white,10+0,thiagomarcal123,1465,willdaplum,1287,e4 e5 Qh5 Nf6 Qxe5+,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4,178,178,white,1,1,1,2
2681,2681,9zlM9tPR,False,1486930000000.0,1486930000000.0,7,mate,white,15+0,dsom,1500,samiraloraei,1500,e4 e5 Bc4 c5 Qh5 d6 Qxf7#,C23,Bishop's Opening,3,0,0,same,0,0,0,0
2704,2704,QGXLgc6L,True,1489010000000.0,1489010000000.0,3,resign,white,9+1,sneaky_bugger,1654,tactical_bishop,1345,b3 f6 Bb2,A01,Nimzo-Larsen Attack,1,309,309,white,1,1,1,2
2705,2705,J62F4oVs,True,1489010000000.0,1489010000000.0,6,resign,black,9+1,tactical_bishop,1423,sneaky_bugger,1576,d4 e6 e4 Qh4 Bg5 Qxg5,C00,French Defense: Normal Variation,3,-153,153,black,1,0,0,2
2707,2707,i4dYtT5Z,True,1489000000000.0,1489000000000.0,3,resign,black,10+0,tactical_bishop,1500,sneaky_bugger,1500,d4 e6 Bf4,A40,Horwitz Defense,2,0,0,same,0,0,0,0
2727,2727,N5ZAfrx9,True,1486650000000.0,1486650000000.0,7,outoftime,white,10+0,jdy,1099,mauzi123,1198,e4 e5 d4 f5 Qd3 fxe4 Qxe4,C21,Center Game #2,3,-99,99,black,0,0,0,0
2742,2742,KmM9OLtW,True,1486480000000.0,1486480000000.0,3,outoftime,white,15+15,jdy,1045,annonhaseyo,1080,e4 e5 d4,C21,Center Game #2,3,-35,35,black,0,0,0,0
2788,2788,DDAXLGKp,True,1486520000000.0,1486520000000.0,6,resign,black,10+0,kyzuro,1375,jb007sf,1435,c4 b6 g3 Bb7 Bg2 Bxg2,A10,English Opening,1,-60,60,black,1,0,0,2
2915,2915,agxGtAax,True,1485900000000.0,1485900000000.0,7,mate,white,15+0,businessman47,1131,apl020,1071,e4 c6 Bc4 e5 Qf3 b5 Qxf7#,C23,Bishop's Opening: Philidor Counterattack,4,60,60,white,1,1,1,2
2926,2926,KkzphjC8,True,1486500000000.0,1486500000000.0,3,resign,white,10+0,nacim,1590,edenshaul,1388,c4 d6 Nc3,A10,English Opening,1,202,202,white,1,1,1,2
2949,2949,eor6INZY,True,1500420000000.0,1500420000000.0,9,resign,white,19+19,dude_perfect,1231,costarica89,905,d4 d5 Nf3 Bf5 Bf4 Qd7 Ne5 Qe6 Nd2,D02,Queen's Pawn Game: Zukertort Variation,3,326,326,white,1,1,1,2
3034,3034,BwXGCvBE,True,1486830000000.0,1486830000000.0,9,resign,white,10+0,hus1972,1102,krst,930,e4 Nf6 e5 Ne4 d3 Ng5 Bxg5 e6 Bxd8,B02,Alekhine Defense: Mokele Mbembe,4,172,172,white,1,1,1,2
3118,3118,v2iBUV6J,True,1487380000000.0,1487380000000.0,7,resign,white,7+4,meccanoidg15,2173,racimov,2189,e4 d5 exd5 Qxd5 Nc3 Nc6 Nxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,-16,16,black,0,0,0,0
3244,3244,yQQjoYGB,False,1503870000000.0,1503870000000.0,6,resign,white,10+0,brandonbos,1480,chessmate1357,1269,e4 e5 Nf3 Nc6 Nc3 d6,C46,Three Knights Opening,5,211,211,white,1,1,1,2
3255,3255,ZOnWQk8z,True,1487560000000.0,1487560000000.0,5,resign,white,15+15,cawfree,1297,shreyposhiya,1346,e4 d6 d4 g5 g4,B07,Pirc Defense #5,3,-49,49,black,0,0,0,0
3284,3284,9K96UN86,True,1500370000000.0,1500370000000.0,3,draw,draw,10+10,dahabi,1942,rex99,2119,e4 c5 c3,B22,Sicilian Defense: Alapin Variation,3,-177,177,black,0,0,0,1
3414,3414,qwKfeTCN,False,1503150000000.0,1503150000000.0,5,resign,white,10+0,vinxitv,1733,cracking12345,1732,b3 Nf6 Bb2 e5 Bxe5,A01,Nimzo-Larsen Attack: Indian Variation,2,1,1,white,1,1,1,2
3415,3415,uUTHWT8w,False,1502890000000.0,1502890000000.0,8,outoftime,black,10+0,cracking12345,1732,vinxitv,1733,e4 b6 d4 Bb7 Bd3 e6 Nf3 c5,B00,Owen Defense,2,-1,1,black,1,0,0,2
3443,3443,nMm9t7YG,False,1482170000000.0,1482170000000.0,6,resign,black,10+5,butledge,1278,hick4u1219,1500,e4 e5 Bc4 d6 Qh5 Nh6,C23,Bishop's Opening,3,-222,222,black,1,0,0,2
3444,3444,rThGMlRV,False,1482170000000.0,1482170000000.0,7,mate,white,15+0,betelgeuse1,1620,butledge,1278,e4 e5 Bc4 d6 Qh5 Nc6 Qxf7#,C23,Bishop's Opening,3,342,342,white,1,1,1,2
3470,3470,H7E4hWqv,False,1485480000000.0,1485480000000.0,9,resign,white,40+10,king5891,1400,adrianjunior,1381,Nf3 d5 b3 e5 Nxe5 Bd6 Nf3 Nf6 Bb2,A06,Nimzowitsch-Larsen Attack,3,19,19,white,1,1,1,2
3522,3522,cDucnLQh,True,1481990000000.0,1481990000000.0,4,resign,black,7+4,chessmaster987,1996,gmanderson,2193,f4 d5 Nf3 Nf6,A03,Bird Opening: Dutch Variation,2,-197,197,black,1,0,0,2
3573,3573,6hOfGXn5,True,1481900000000.0,1481900000000.0,9,mate,white,15+0,b0nes,1251,binder47,1086,e4 c6 Qh5 Qc7 Bc4 Na6 Qxf7+ Kd8 Qxf8#,B10,Caro-Kann Defense,2,165,165,white,1,1,1,2
3722,3722,0Dx0giMJ,False,1481990000000.0,1481990000000.0,8,resign,black,30+0,piley159,1144,ahm7777,1500,e4 e5 Bc4 Nc6 Qh5 g6 Qg5 Qxg5,C23,Bishop's Opening,3,-356,356,black,1,0,0,2
3869,3869,fOVAgERZ,False,1487270000000.0,1487270000000.0,2,resign,white,8+0,ioansanders,1500,vladtepes26,1784,e4 e6,C00,French Defense #2,2,-284,284,black,0,0,0,0
3879,3879,xyJVLOev,True,1496420000000.0,1496420000000.0,5,outoftime,white,10+0,lewispugdog,1046,alexmorato,986,e4 e5 Nc3 c6 Nf3,C27,Vienna Game,3,60,60,white,1,1,1,2
3884,3884,Tok2vKal,True,1481660000000.0,1481660000000.0,8,resign,black,10+0,chessguy9001,1278,wolfbrotherwolf,1500,e4 g5 Nf3 b5 Nxg5 f6 f3 fxg5,B00,Borg Defense,2,-222,222,black,1,0,0,2
3896,3896,GzAueRP7,False,1495130000000.0,1495130000000.0,5,resign,white,10+10,wisepanther,1370,ricardo_barbieri,1422,e4 e5 Nf3 f6 Bc4,C40,King's Pawn Game: Damiano Defense,4,-52,52,black,0,0,0,0
3902,3902,Ka66jOVA,False,1492190000000.0,1492190000000.0,2,resign,black,5+30,minertyler100,1264,wisepanther,1507,e4 d6,B07,Pirc Defense #4,2,-243,243,black,1,0,0,2
3982,3982,F5Dylbt6,True,1480700000000.0,1480700000000.0,6,mate,black,15+20,norris,1418,jvp,1588,h3 e5 f3 Qh4+ g3 Qxg3#,A00,Clemenz Opening,1,-170,170,black,1,0,0,2
3984,3984,YCEKNJhX,False,1503920000000.0,1503920000000.0,2,outoftime,black,10+0,michaelfield,1761,yelilyina,1579,e4 c5,B20,Sicilian Defense,2,182,182,white,0,1,1,0
4067,4067,P0He9I4m,True,1503760000000.0,1503760000000.0,9,mate,white,10+0,artmanua,1512,amateur_pawn_star,1490,e4 c5 c3 Nc6 Bc4 b6 Qb3 Bb7 Bxf7#,B22,Sicilian Defense: Alapin Variation,3,22,22,white,1,1,1,2
4102,4102,R3nrXrqZ,False,1478910000000.0,1478910000000.0,9,resign,white,12+0,quazimodo,1342,om1665061,1221,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 Qe7 O-O,C50,Italian Game: Giuoco Pianissimo,7,121,121,white,1,1,1,2
4106,4106,9xlp4XvI,True,1474710000000.0,1474710000000.0,7,resign,white,5+8,minelkayra,1329,om1665061,1215,e4 e5 Qh5 g6 Qxe5+ Be7 Qxh8,C20,King's Pawn Game: Wayward Queen Attack,3,114,114,white,1,1,1,2
4107,4107,mTVPiE7r,True,1474710000000.0,1474710000000.0,4,resign,white,8+8,gangioli,1325,om1665061,1227,e4 e5 Nf3 Nc6,C44,King's Knight Opening: Normal Variation,4,98,98,white,1,1,1,2
4119,4119,bDcOkAPl,True,1481850000000.0,1481850000000.0,7,resign,white,8+0,xx_domi_xx,1302,coco2016,1351,e4 c5 Qg4 d6 Qxc8 Qxc8 Bb5+,B20,Sicilian Defense: Amazon Attack,3,-49,49,black,0,0,0,0
4126,4126,y44Msw6h,True,1489940000000.0,1489940000000.0,7,mate,white,5+5,greenmachine,958,chipie1952,1274,e4 e5 Qh5 Nc6 Bc4 Nf6 Qxf7#,C20,King's Pawn Game: Wayward Queen Attack,3,-316,316,black,0,0,0,0
4192,4192,K1AmmvZe,True,1479920000000.0,1479920000000.0,9,outoftime,white,5+10,davidsursuippe,1374,samuelpro,1115,e4 e6 d4 d5 f3 f5 c3 c6 Nd2,C00,French Defense,4,259,259,white,1,1,1,2
4205,4205,HDwrruYt,True,1486420000000.0,1486420000000.0,2,resign,black,5+6,chessgeorge,1052,hugues2908,1304,d4 d5,D00,Queen's Pawn Game,2,-252,252,black,1,0,0,2
4216,4216,7DOaoGeV,True,1455430000000.0,1455430000000.0,2,resign,white,10+5,carlosamadorsanchez,1112,phuckhu,1283,e4 d5,B01,Scandinavian Defense,2,-171,171,black,0,0,0,0
4223,4223,pr10qXl4,True,1455200000000.0,1455200000000.0,4,resign,black,10+0,alle915,1141,carlosamadorsanchez,1175,e4 d5 Bc4 dxc4,B01,Scandinavian Defense,2,-34,34,black,1,0,0,2
4310,4310,DvBbvHEo,True,1479420000000.0,1479420000000.0,9,resign,white,17+3,viamilitaris,918,synt3grate,996,e4 e5 Nf3 Nc6 d4 Bb4+ c3 Be7 Bc4,C44,Scotch Game,5,-78,78,black,0,0,0,0
4366,4366,s2mBmi3p,True,1479950000000.0,1479950000000.0,9,resign,white,10+25,bharatt,1319,cliward132,1096,e3 d5 h3 e5 Qh5 g6 Qxe5+ Ne7 Qxh8,A00,Van't Kruijs Opening,1,223,223,white,1,1,1,2
4512,4512,1YJSkH4F,True,1504230000000.0,1504230000000.0,9,resign,white,10+0,userx100,1227,jccz,1204,e4 e5 f4 exf4 Nf3 Qe7 d3 Qxe4+ dxe4,C34,King's Gambit Accepted |  King's Knight Gambit,5,23,23,white,1,1,1,2
4594,4594,kkd8lWaZ,True,1477430000000.0,1477430000000.0,4,outoftime,black,1+12,zalupa_konya,1156,zoerichi,1005,e4 e5 Qf3 d6,C20,King's Pawn Game: Napoleon Attack,3,151,151,white,0,1,1,0
4607,4607,b44uCNTN,True,1474200000000.0,1474200000000.0,9,mate,white,8+8,miguel_guerra1977,1569,fox26666,1276,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 b6 Qxf7#,C20,King's Pawn Game: Wayward Queen Attack,3,293,293,white,1,1,1,2
4624,4624,yZwvNSmX,False,1495920000000.0,1495920000000.0,2,resign,white,15+0,xxofficialmasterxx,1866,torturana,1500,e4 e5,C20,King's Pawn Game,2,366,366,white,1,1,1,2
4625,4625,P14JYgF9,False,1495920000000.0,1495920000000.0,3,resign,black,15+0,torturana,1500,xxofficialmasterxx,1866,e4 c5 Nf3,B27,Sicilian Defense,3,-366,366,black,1,0,0,2
4630,4630,XyipO93f,False,1471710000000.0,1471710000000.0,9,resign,white,15+0,xxofficialmasterxx,1866,flotten,1556,e4 c5 Nf3 d6 c3 Nf6 Be2 Nxe4 Qa4+,B50,Sicilian Defense: Delayed Alapin,5,310,310,white,1,1,1,2
4697,4697,gZ9e51VE,True,1471380000000.0,1471380000000.0,9,resign,white,15+0,martinbigi,1570,nicholas9999,1750,d4 d5 c3 Nc6 e3 e5 Bb5 exd4 cxd4,D00,Queen's Pawn Game,2,-180,180,black,0,0,0,0
4711,4711,3ysSReoe,True,1478440000000.0,1478450000000.0,3,resign,white,10+0,s1h3a1s0,1848,stve400231,1873,e4 e5 Nf3,C40,King's Knight Opening,3,-25,25,black,0,0,0,0
4738,4738,fehuaLTD,True,1470920000000.0,1470920000000.0,2,outoftime,black,10+15,irishockey,1633,emadahmed,1287,e4 e5,C20,King's Pawn Game,2,346,346,white,0,1,1,0
4755,4755,uxB4EezK,True,1498070000000.0,1498070000000.0,9,resign,white,10+0,cunha25,1455,jayblackington,1177,e4 e5 Nf3 Nc6 Bc4 Nge7 Ng5 h6 Nxf7,C50,Italian Game,5,278,278,white,1,1,1,2
4795,4795,7Z4DZf68,False,1502120000000.0,1502120000000.0,5,resign,white,5+8,balan,1505,william_james_sidis,1500,e4 Nc6 d4 e6 Nf3,B00,King's Pawn Game: Nimzowitsch Defense,3,5,5,white,1,1,1,2
4796,4796,b9SIcVDM,False,1500990000000.0,1500990000000.0,7,resign,white,15+0,eden7644,1613,william_james_sidis,1500,e4 d5 e5 e6 d4 f5 exf6,C02,French Defense: Advance Variation #3,5,113,113,white,1,1,1,2
4885,4885,RZDzALCh,True,1477690000000.0,1477690000000.0,2,draw,draw,180+0,zoro94,1646,ammanian,1696,d4 Nf6,A45,Indian Game,2,-50,50,black,0,0,0,1
4972,4972,AnnJL7OC,True,1469700000000.0,1469700000000.0,4,resign,black,6+8,chesspolio,1645,a-devi,1679,e4 c5 Nf3 d6,B50,Sicilian Defense,4,-34,34,black,1,0,0,2
